"Kod";"Nazwa";"ogółem;2017;[zł]";
0000000;"POLSKA";4527,89;
0200000;"DOLNOŚLĄSKIE";4654,51;
0201000;"Powiat bolesławiecki";3901,94;
0202000;"Powiat dzierżoniowski";3825,15;
0203000;"Powiat głogowski";3918,42;
0204000;"Powiat górowski";3484,31;
0205000;"Powiat jaworski";3756,46;
0206000;"Powiat jeleniogórski";3760,49;
0207000;"Powiat kamiennogórski";3661,88;
0208000;"Powiat kłodzki";3741,83;
0209000;"Powiat legnicki";3774,63;
0210000;"Powiat lubański";3622,21;
0211000;"Powiat lubiński";7515,99;
0212000;"Powiat lwówecki";3570,16;
0213000;"Powiat milicki";3617,72;
0214000;"Powiat oleśnicki";3857,75;
0215000;"Powiat oławski";4150,54;
0216000;"Powiat polkowicki";4794,62;
0217000;"Powiat strzeliński";4082,13;
0218000;"Powiat średzki";4389,17;
0219000;"Powiat świdnicki";4141,32;
0220000;"Powiat trzebnicki";3664,48;
0221000;"Powiat wałbrzyski";3638,59;
0222000;"Powiat wołowski";4651,04;
0223000;"Powiat wrocławski";4324,13;
0224000;"Powiat ząbkowicki";3583,79;
0225000;"Powiat zgorzelecki";3866,56;
0226000;"Powiat złotoryjski";4113,06;
0261000;"Powiat m.Jelenia Góra";4237,50;
0262000;"Powiat m.Legnica";3998,28;
0264000;"Powiat m.Wrocław";5070,35;
0265000;"Powiat m.Wałbrzych od 2013";4481,44;
0400000;"KUJAWSKO-POMORSKIE";3886,20;
0401000;"Powiat aleksandrowski";3399,70;
0402000;"Powiat brodnicki";3552,02;
0403000;"Powiat bydgoski";3933,52;
0404000;"Powiat chełmiński";3639,96;
0405000;"Powiat golubsko-dobrzyński";3926,17;
0406000;"Powiat grudziądzki";3748,43;
0407000;"Powiat inowrocławski";3626,17;
0408000;"Powiat lipnowski";3218,45;
0409000;"Powiat mogileński";3678,82;
0410000;"Powiat nakielski";3468,65;
0411000;"Powiat radziejowski";3378,02;
0412000;"Powiat rypiński";3464,17;
0413000;"Powiat sępoleński";3529,86;
0414000;"Powiat świecki";3882,92;
0415000;"Powiat toruński";3483,08;
0416000;"Powiat tucholski";3353,75;
0417000;"Powiat wąbrzeski";3741,15;
0418000;"Powiat włocławski";3503,37;
0419000;"Powiat żniński";3363,90;
0461000;"Powiat m.Bydgoszcz";4185,10;
0462000;"Powiat m.Grudziądz";3513,56;
0463000;"Powiat m.Toruń";4384,59;
0464000;"Powiat m.Włocławek";3941,33;
0600000;"LUBELSKIE";4020,25;
0601000;"Powiat bialski";3409,49;
0602000;"Powiat biłgorajski";3699,34;
0603000;"Powiat chełmski";3410,65;
0604000;"Powiat hrubieszowski";3572,95;
0605000;"Powiat janowski";3657,09;
0606000;"Powiat krasnostawski";3619,20;
0607000;"Powiat kraśnicki";3459,00;
0608000;"Powiat lubartowski";3419,63;
0609000;"Powiat lubelski";3527,13;
0610000;"Powiat łęczyński";5512,40;
0611000;"Powiat łukowski";3403,31;
0612000;"Powiat opolski";3490,05;
0613000;"Powiat parczewski";3565,96;
0614000;"Powiat puławski";4440,23;
0615000;"Powiat radzyński";3598,62;
0616000;"Powiat rycki";3544,04;
0617000;"Powiat świdnicki";4312,35;
0618000;"Powiat tomaszowski";3405,09;
0619000;"Powiat włodawski";3519,39;
0620000;"Powiat zamojski";3242,06;
0661000;"Powiat m.Biała Podlaska";3763,62;
0662000;"Powiat m.Chełm";3689,33;
0663000;"Powiat m.Lublin";4431,61;
0664000;"Powiat m.Zamość";3954,10;
0800000;"LUBUSKIE";3950,95;
0801000;"Powiat gorzowski";4090,10;
0802000;"Powiat krośnieński";3996,47;
0803000;"Powiat międzyrzecki";3768,95;
0804000;"Powiat nowosolski";3914,15;
0805000;"Powiat słubicki";3718,52;
0806000;"Powiat strzelecko-drezdenecki";3819,16;
0807000;"Powiat sulęciński";3468,90;
0808000;"Powiat świebodziński";3968,58;
0809000;"Powiat zielonogórski";4067,93;
0810000;"Powiat żagański";3587,59;
0811000;"Powiat żarski";4067,66;
0812000;"Powiat wschowski";3553,21;
0861000;"Powiat m.Gorzów Wielkopolski";3934,20;
0862000;"Powiat m.Zielona Góra";4173,04;
1000000;"ŁÓDZKIE";4141,94;
1001000;"Powiat bełchatowski";5926,37;
1002000;"Powiat kutnowski";3946,40;
1003000;"Powiat łaski";3227,11;
1004000;"Powiat łęczycki";3885,89;
1005000;"Powiat łowicki";3534,91;
1006000;"Powiat łódzki wschodni";3463,82;
1007000;"Powiat opoczyński";3427,90;
1008000;"Powiat pabianicki";3778,57;
1009000;"Powiat pajęczański";3672,03;
1010000;"Powiat piotrkowski";3436,14;
1011000;"Powiat poddębicki";4387,98;
1012000;"Powiat radomszczański";3406,71;
1013000;"Powiat rawski";3561,95;
1014000;"Powiat sieradzki";3648,13;
1015000;"Powiat skierniewicki";3612,61;
1016000;"Powiat tomaszowski";3554,59;
1017000;"Powiat wieluński";3640,03;
1018000;"Powiat wieruszowski";3267,25;
1019000;"Powiat zduńskowolski";3533,99;
1020000;"Powiat zgierski";4017,73;
1021000;"Powiat brzeziński";3071,31;
1061000;"Powiat m.Łódź";4462,50;
1062000;"Powiat m.Piotrków Trybunalski";3446,86;
1063000;"Powiat m.Skierniewice";3598,89;
1200000;"MAŁOPOLSKIE";4347,10;
1201000;"Powiat bocheński";3783,80;
1202000;"Powiat brzeski";3446,38;
1203000;"Powiat chrzanowski";3878,27;
1204000;"Powiat dąbrowski";3652,45;
1205000;"Powiat gorlicki";3430,00;
1206000;"Powiat krakowski";4858,15;
1207000;"Powiat limanowski";3438,40;
1208000;"Powiat miechowski";3436,12;
1209000;"Powiat myślenicki";3745,92;
1210000;"Powiat nowosądecki";3396,14;
1211000;"Powiat nowotarski";3400,75;
1212000;"Powiat olkuski";4139,68;
1213000;"Powiat oświęcimski";4048,20;
1214000;"Powiat proszowicki";3675,73;
1215000;"Powiat suski";3675,07;
1216000;"Powiat tarnowski";3308,87;
1217000;"Powiat tatrzański";3916,60;
1218000;"Powiat wadowicki";3495,69;
1219000;"Powiat wielicki";4164,18;
1261000;"Powiat m.Kraków";4966,20;
1262000;"Powiat m.Nowy Sącz";3578,27;
1263000;"Powiat m.Tarnów";3947,37;
1400000;"MAZOWIECKIE";5523,65;
1401000;"Powiat białobrzeski";3796,54;
1402000;"Powiat ciechanowski";4093,02;
1403000;"Powiat garwoliński";3893,41;
1404000;"Powiat gostyniński";3652,70;
1405000;"Powiat grodziski";4682,77;
1406000;"Powiat grójecki";4340,66;
1407000;"Powiat kozienicki";5164,02;
1408000;"Powiat legionowski";4166,59;
1409000;"Powiat lipski";3720,86;
1410000;"Powiat łosicki";3638,32;
1411000;"Powiat makowski";3593,25;
1412000;"Powiat miński";3858,75;
1413000;"Powiat mławski";3472,99;
1414000;"Powiat nowodworski";5042,02;
1415000;"Powiat ostrołęcki";3800,68;
1416000;"Powiat ostrowski";3870,99;
1417000;"Powiat otwocki";4159,58;
1418000;"Powiat piaseczyński";4102,07;
1419000;"Powiat płocki";3506,28;
1420000;"Powiat płoński";3866,14;
1421000;"Powiat pruszkowski";5405,38;
1422000;"Powiat przasnyski";3752,91;
1423000;"Powiat przysuski";3610,91;
1424000;"Powiat pułtuski";3609,92;
1425000;"Powiat radomski";3477,49;
1426000;"Powiat siedlecki";3522,32;
1427000;"Powiat sierpecki";3716,02;
1428000;"Powiat sochaczewski";4429,03;
1429000;"Powiat sokołowski";3684,06;
1430000;"Powiat szydłowiecki";3438,25;
1432000;"Powiat warszawski zachodni";5054,09;
1433000;"Powiat węgrowski";3570,38;
1434000;"Powiat wołomiński";4077,96;
1435000;"Powiat wyszkowski";3761,07;
1436000;"Powiat zwoleński";3733,31;
1437000;"Powiat żuromiński";3446,49;
1438000;"Powiat żyrardowski";4254,63;
1461000;"Powiat m.Ostrołęka";4481,69;
1462000;"Powiat m.Płock";5474,96;
1463000;"Powiat m.Radom";4123,36;
1464000;"Powiat m.Siedlce";4130,35;
1465000;"Powiat m. st. Warszawa";6059,04;
1600000;"OPOLSKIE";4144,91;
1601000;"Powiat brzeski";3858,63;
1602000;"Powiat głubczycki";3658,51;
1603000;"Powiat kędzierzyńsko-kozielski";4811,98;
1604000;"Powiat kluczborski";3939,54;
1605000;"Powiat krapkowicki";4462,89;
1606000;"Powiat namysłowski";3905,34;
1607000;"Powiat nyski";3631,95;
1608000;"Powiat oleski";3636,42;
1609000;"Powiat opolski";3653,33;
1610000;"Powiat prudnicki";3609,33;
1611000;"Powiat strzelecki";3965,93;
1661000;"Powiat m.Opole";4615,56;
1800000;"PODKARPACKIE";3837,17;
1801000;"Powiat bieszczadzki";3726,11;
1802000;"Powiat brzozowski";3476,04;
1803000;"Powiat dębicki";3746,14;
1804000;"Powiat jarosławski";3728,42;
1805000;"Powiat jasielski";3569,68;
1806000;"Powiat kolbuszowski";3423,86;
1807000;"Powiat krośnieński";3251,14;
1808000;"Powiat leżajski";3606,75;
1809000;"Powiat lubaczowski";3383,62;
1810000;"Powiat łańcucki";3414,92;
1811000;"Powiat mielecki";4000,48;
1812000;"Powiat niżański";3248,21;
1813000;"Powiat przemyski";3447,08;
1814000;"Powiat przeworski";3336,59;
1815000;"Powiat ropczycko-sędziszowski";3675,99;
1816000;"Powiat rzeszowski";3693,03;
1817000;"Powiat sanocki";3626,55;
1818000;"Powiat stalowowolski";4049,03;
1819000;"Powiat strzyżowski";3209,49;
1820000;"Powiat tarnobrzeski";3879,26;
1821000;"Powiat leski";3945,70;
1861000;"Powiat m.Krosno";3608,07;
1862000;"Powiat m.Przemyśl";3633,05;
1863000;"Powiat m.Rzeszów";4510,48;
1864000;"Powiat m.Tarnobrzeg";3610,23;
2000000;"PODLASKIE";4005,94;
2001000;"Powiat augustowski";4024,64;
2002000;"Powiat białostocki";3614,69;
2003000;"Powiat bielski";4659,62;
2004000;"Powiat grajewski";4329,42;
2005000;"Powiat hajnowski";4149,69;
2006000;"Powiat kolneński";3683,54;
2007000;"Powiat łomżyński";4066,19;
2008000;"Powiat moniecki";3651,65;
2009000;"Powiat sejneński";3825,14;
2010000;"Powiat siemiatycki";3581,00;
2011000;"Powiat sokólski";3662,06;
2012000;"Powiat suwalski";3556,25;
2013000;"Powiat wysokomazowiecki";4225,48;
2014000;"Powiat zambrowski";3933,11;
2061000;"Powiat m.Białystok";4164,59;
2062000;"Powiat m.Łomża";3665,03;
2063000;"Powiat m.Suwałki";3716,08;
2200000;"POMORSKIE";4496,64;
2201000;"Powiat bytowski";3817,07;
2202000;"Powiat chojnicki";3479,72;
2203000;"Powiat człuchowski";3697,11;
2204000;"Powiat gdański";4191,00;
2205000;"Powiat kartuski";3717,51;
2206000;"Powiat kościerski";3433,93;
2207000;"Powiat kwidzyński";4097,28;
2208000;"Powiat lęborski";3918,71;
2209000;"Powiat malborski";3694,08;
2210000;"Powiat nowodworski";3846,11;
2211000;"Powiat pucki";3942,25;
2212000;"Powiat słupski";3870,93;
2213000;"Powiat starogardzki";4026,19;
2214000;"Powiat tczewski";4242,41;
2215000;"Powiat wejherowski";3763,49;
2216000;"Powiat sztumski";3709,56;
2261000;"Powiat m.Gdańsk";5312,48;
2262000;"Powiat m.Gdynia";5045,45;
2263000;"Powiat m.Słupsk";3840,62;
2264000;"Powiat m.Sopot";5313,49;
2400000;"ŚLĄSKIE";4481,57;
2401000;"Powiat będziński";3822,99;
2402000;"Powiat bielski";3999,45;
2403000;"Powiat cieszyński";3773,12;
2404000;"Powiat częstochowski";3640,22;
2405000;"Powiat gliwicki";3812,53;
2406000;"Powiat kłobucki";3275,42;
2407000;"Powiat lubliniecki";3729,86;
2408000;"Powiat mikołowski";3899,02;
2409000;"Powiat myszkowski";3730,50;
2410000;"Powiat pszczyński";3588,61;
2411000;"Powiat raciborski";4143,91;
2412000;"Powiat rybnicki";4130,78;
2413000;"Powiat tarnogórski";3969,09;
2414000;"Powiat bieruńsko-lędziński";3987,44;
2415000;"Powiat wodzisławski";3448,06;
2416000;"Powiat zawierciański";4023,65;
2417000;"Powiat żywiecki";4515,28;
2461000;"Powiat m.Bielsko-Biała";4446,37;
2462000;"Powiat m.Bytom";4054,04;
2463000;"Powiat m.Chorzów";4087,57;
2464000;"Powiat m.Częstochowa";3954,16;
2465000;"Powiat m.Dąbrowa Górnicza";5096,32;
2466000;"Powiat m.Gliwice";5117,17;
2467000;"Powiat m.Jastrzębie-Zdrój";6609,12;
2468000;"Powiat m.Jaworzno";5370,16;
2469000;"Powiat m.Katowice";5290,36;
2470000;"Powiat m.Mysłowice";4074,53;
2471000;"Powiat m.Piekary Śląskie";4619,75;
2472000;"Powiat m.Ruda Śląska";3906,09;
2473000;"Powiat m.Rybnik";4122,16;
2474000;"Powiat m.Siemianowice Śląskie";4116,13;
2475000;"Powiat m.Sosnowiec";4139,10;
2476000;"Powiat m.Świętochłowice";3595,13;
2477000;"Powiat m.Tychy";4437,20;
2478000;"Powiat m.Zabrze";4202,39;
2479000;"Powiat m.Żory";3890,07;
2600000;"ŚWIĘTOKRZYSKIE";3911,49;
2601000;"Powiat buski";3587,24;
2602000;"Powiat jędrzejowski";4177,28;
2603000;"Powiat kazimierski";3311,99;
2604000;"Powiat kielecki";3477,48;
2605000;"Powiat konecki";3585,89;
2606000;"Powiat opatowski";3456,29;
2607000;"Powiat ostrowiecki";3596,74;
2608000;"Powiat pińczowski";3673,89;
2609000;"Powiat sandomierski";3978,62;
2610000;"Powiat skarżyski";3859,44;
2611000;"Powiat starachowicki";4117,89;
2612000;"Powiat staszowski";4042,49;
2613000;"Powiat włoszczowski";3760,86;
2661000;"Powiat m.Kielce";4197,40;
2800000;"WARMIŃSKO-MAZURSKIE";3802,98;
2801000;"Powiat bartoszycki";3637,30;
2802000;"Powiat braniewski";3559,55;
2803000;"Powiat działdowski";3449,37;
2804000;"Powiat elbląski";3446,29;
2805000;"Powiat ełcki";3477,88;
2806000;"Powiat giżycki";3663,45;
2807000;"Powiat iławski";3455,52;
2808000;"Powiat kętrzyński";3467,16;
2809000;"Powiat lidzbarski";3445,72;
2810000;"Powiat mrągowski";3353,74;
2811000;"Powiat nidzicki";3334,80;
2812000;"Powiat nowomiejski";3221,93;
2813000;"Powiat olecki";3647,08;
2814000;"Powiat olsztyński";3781,68;
2815000;"Powiat ostródzki";3680,36;
2816000;"Powiat piski";3791,39;
2817000;"Powiat szczycieński";3699,06;
2818000;"Powiat gołdapski";3328,33;
2819000;"Powiat węgorzewski";3379,54;
2861000;"Powiat m.Elbląg";4044,35;
2862000;"Powiat m.Olsztyn";4427,76;
3000000;"WIELKOPOLSKIE";4124,13;
3001000;"Powiat chodzieski";3713,90;
3002000;"Powiat czarnkowsko-trzcianecki";3967,42;
3003000;"Powiat gnieźnieński";3774,18;
3004000;"Powiat gostyński";3760,40;
3005000;"Powiat grodziski";3316,55;
3006000;"Powiat jarociński";3340,73;
3007000;"Powiat kaliski";3353,48;
3008000;"Powiat kępiński";2960,24;
3009000;"Powiat kolski";4035,50;
3010000;"Powiat koniński";3439,22;
3011000;"Powiat kościański";3718,79;
3012000;"Powiat krotoszyński";3478,90;
3013000;"Powiat leszczyński";4213,65;
3014000;"Powiat międzychodzki";3623,06;
3015000;"Powiat nowotomyski";3989,83;
3016000;"Powiat obornicki";4101,05;
3017000;"Powiat ostrowski";3764,42;
3018000;"Powiat ostrzeszowski";3713,45;
3019000;"Powiat pilski";4006,13;
3020000;"Powiat pleszewski";3621,86;
3021000;"Powiat poznański";4018,59;
3022000;"Powiat rawicki";3442,45;
3023000;"Powiat słupecki";3564,41;
3024000;"Powiat szamotulski";4482,73;
3025000;"Powiat średzki";4102,74;
3026000;"Powiat śremski";3639,72;
3027000;"Powiat turecki";3391,97;
3028000;"Powiat wągrowiecki";3679,03;
3029000;"Powiat wolsztyński";3517,60;
3030000;"Powiat wrzesiński";3928,55;
3031000;"Powiat złotowski";3397,81;
3061000;"Powiat m.Kalisz";3889,60;
3062000;"Powiat m.Konin";3930,94;
3063000;"Powiat m.Leszno";3745,94;
3064000;"Powiat m.Poznań";5062,37;
3200000;"ZACHODNIOPOMORSKIE";4154,25;
3201000;"Powiat białogardzki";3756,70;
3202000;"Powiat choszczeński";3775,03;
3203000;"Powiat drawski";3402,35;
3204000;"Powiat goleniowski";4220,58;
3205000;"Powiat gryficki";3500,89;
3206000;"Powiat gryfiński";3848,29;
3207000;"Powiat kamieński";3525,59;
3208000;"Powiat kołobrzeski";3751,26;
3209000;"Powiat koszaliński";3677,01;
3210000;"Powiat myśliborski";3810,17;
3211000;"Powiat policki";4624,12;
3212000;"Powiat pyrzycki";3612,65;
3213000;"Powiat sławieński";3472,79;
3214000;"Powiat stargardzki";3817,60;
3215000;"Powiat szczecinecki";3880,91;
3216000;"Powiat świdwiński";3470,74;
3217000;"Powiat wałecki";3761,59;
3218000;"Powiat łobeski";3662,40;
3261000;"Powiat m.Koszalin";3999,59;
3262000;"Powiat m.Szczecin";4732,93;
3263000;"Powiat m.Świnoujście";4536,08;
